pair_id,benchmark_task_id,task_name,init_state_index,episode_seed,pilot_pair,condition,steps,success_within_prefix,initial_observation_sha256,pre_observation_sha256,pre_commanded_action_sha256,first_post_h10_command_sha256,commanded_action_sha256,interface_action_sha256,action_interface_mismatch_steps,protocol_sha256,archive_bytes,archive_sha256
task04-init03,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,3,180403,True,nominal,90,False,33c0851c12be3f82d15bbcfb900e2304c041cfc73498f98c7f9d37521f0f7dc9,a985463950b8015b73027608681137d36925d77886a331c50961b52a9ff4d7b1,7a7a0d82ba0e319bd47bf49827dbfbd4e8837f91fb787f4839fa587d8e349c54,835c0bb48d4025a03b8e829abb20429092516746ba5dc028e7205ab59b082767,1f0546d254f90cb92cc2e2ba3d6276aff182cf9ba87b5a5fb014539741da491d,1f0546d254f90cb92cc2e2ba3d6276aff182cf9ba87b5a5fb014539741da491d,0,0ccd550c7d2285ef05d7e541511d77bb0e8bc46432d54dcb1302b89848bbc5f6,23382604,b2bba30dd200e6fc4b8979d5abe3de1c4330611637dfcee51f0d0e7abb47c324
task04-init03,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,3,180403,True,arm_actuator_gain_0p5,90,False,33c0851c12be3f82d15bbcfb900e2304c041cfc73498f98c7f9d37521f0f7dc9,a985463950b8015b73027608681137d36925d77886a331c50961b52a9ff4d7b1,7a7a0d82ba0e319bd47bf49827dbfbd4e8837f91fb787f4839fa587d8e349c54,835c0bb48d4025a03b8e829abb20429092516746ba5dc028e7205ab59b082767,d35adacca1fcd84e8b9fc6318fe4d12dfcb974ef0a6020b72bfc8d04b52afc52,d35adacca1fcd84e8b9fc6318fe4d12dfcb974ef0a6020b72bfc8d04b52afc52,0,0ccd550c7d2285ef05d7e541511d77bb0e8bc46432d54dcb1302b89848bbc5f6,23078644,b83b1e16e3bedbb788d5de1520fab9797f512e02026895ba7619f39bfdddee7c
task04-init03,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,3,180403,True,arm_joint_damping_10x,90,False,33c0851c12be3f82d15bbcfb900e2304c041cfc73498f98c7f9d37521f0f7dc9,a985463950b8015b73027608681137d36925d77886a331c50961b52a9ff4d7b1,7a7a0d82ba0e319bd47bf49827dbfbd4e8837f91fb787f4839fa587d8e349c54,835c0bb48d4025a03b8e829abb20429092516746ba5dc028e7205ab59b082767,f54ec94ea79f6dacae4bd12eac573cbf4661243737d9750d54ff09f30625e761,f54ec94ea79f6dacae4bd12eac573cbf4661243737d9750d54ff09f30625e761,0,0ccd550c7d2285ef05d7e541511d77bb0e8bc46432d54dcb1302b89848bbc5f6,23352394,96ec35d2dd449a81a206e67b26f7d783aa8446e18eda284c430643b5918c1aa7
task04-init13,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,13,180413,False,nominal,90,False,82a206a285feefff56f94cd7736bd2721ae57194822f62cfe15546dd2727d1a2,cd123b26eb7c52904bbcded376ba2a19a5e3a8f539c96ad7b985d616db04cbfc,dcf4523d702f27c32ce93a281327500d8eefa395e2e40ead4be0d71d98b97820,60e3070e265210916a690955b67bbbb734fc94b0dc61d92052846a5ada58be21,733abb43d6293ec4e3cef3aa495386cd25709696616fa7dade7801dbc3cb2d36,733abb43d6293ec4e3cef3aa495386cd25709696616fa7dade7801dbc3cb2d36,0,0ccd550c7d2285ef05d7e541511d77bb0e8bc46432d54dcb1302b89848bbc5f6,24383039,1ee46657173afdb8adcca089fe7299dafc483cb57fc09520c6cd8589caa6c285
task04-init13,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,13,180413,False,arm_actuator_gain_0p5,90,False,82a206a285feefff56f94cd7736bd2721ae57194822f62cfe15546dd2727d1a2,cd123b26eb7c52904bbcded376ba2a19a5e3a8f539c96ad7b985d616db04cbfc,dcf4523d702f27c32ce93a281327500d8eefa395e2e40ead4be0d71d98b97820,60e3070e265210916a690955b67bbbb734fc94b0dc61d92052846a5ada58be21,d14c12b60454e1b6b544293e4a04810925f1dd04b3e0ae37316b86917d16c68a,d14c12b60454e1b6b544293e4a04810925f1dd04b3e0ae37316b86917d16c68a,0,0ccd550c7d2285ef05d7e541511d77bb0e8bc46432d54dcb1302b89848bbc5f6,23351781,3a014f951087edc6e0badf41ceba445d075e407fd1f9afad6f25601ec7712299
task07-init10,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,10,180710,True,nominal,90,False,7d083c3dafebb26be31e41f698a7dedadd7f8d89bc97074ca71ca4b248eaf95d,ed4a15dcca8ff57ebd05b88a834604fd3ba36980384db5d8cd60c8999331cf21,636455ae7f09e5aa8ec2ddbc34b9fbd6e710a4e1082bdbd4a1f69879bad2327e,57a6a4e400e1d0699d69c91ef5dd243247d180f07fb05741c99b707dcfb6b1c5,aec76ce8fa026bcc0fd05ac7810436d25075f1cb643730e47c682ea8fca1b4b8,aec76ce8fa026bcc0fd05ac7810436d25075f1cb643730e47c682ea8fca1b4b8,0,0ccd550c7d2285ef05d7e541511d77bb0e8bc46432d54dcb1302b89848bbc5f6,23631974,9a3c74fb121157ac75ceb53d93f20732137ec916ee352f8fccc3bf0201b0946a
task07-init10,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,10,180710,True,arm_actuator_gain_0p5,90,False,7d083c3dafebb26be31e41f698a7dedadd7f8d89bc97074ca71ca4b248eaf95d,ed4a15dcca8ff57ebd05b88a834604fd3ba36980384db5d8cd60c8999331cf21,636455ae7f09e5aa8ec2ddbc34b9fbd6e710a4e1082bdbd4a1f69879bad2327e,57a6a4e400e1d0699d69c91ef5dd243247d180f07fb05741c99b707dcfb6b1c5,d594b2a92e3be21d2962b5b8bf5855271b14ab6246aa18a73e450092c2a4db40,d594b2a92e3be21d2962b5b8bf5855271b14ab6246aa18a73e450092c2a4db40,0,0ccd550c7d2285ef05d7e541511d77bb0e8bc46432d54dcb1302b89848bbc5f6,23195138,6a15c83d4c62338874a6dc3acf270148c35f11070d75756f40a169e262f28280
task07-init10,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,10,180710,True,arm_joint_damping_10x,90,False,7d083c3dafebb26be31e41f698a7dedadd7f8d89bc97074ca71ca4b248eaf95d,ed4a15dcca8ff57ebd05b88a834604fd3ba36980384db5d8cd60c8999331cf21,636455ae7f09e5aa8ec2ddbc34b9fbd6e710a4e1082bdbd4a1f69879bad2327e,57a6a4e400e1d0699d69c91ef5dd243247d180f07fb05741c99b707dcfb6b1c5,1ff8dd691196f1dabb5a0d3003fd0e17c1c34e50eb7b6f47379b146e7e20e11c,1ff8dd691196f1dabb5a0d3003fd0e17c1c34e50eb7b6f47379b146e7e20e11c,0,0ccd550c7d2285ef05d7e541511d77bb0e8bc46432d54dcb1302b89848bbc5f6,23624600,8cf623b89d28e03b9c8bfb4c5992db455cd7b45ad89929244166df921ed68eb2
task07-init13,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,13,180713,False,nominal,90,False,799600bbda786951e7f23e728a2d15c11c0d7d188b166b00a2024a35b280152b,18a493f2927792aa595916bbcb756b55f259775e5aee58072f5910bc9edaf96b,e888f2b332768693ded586d828272d2c2e50aaab956e99a0fee20788a31253a1,fbb2826ce5254e7510401b24ac71cd7f5e788b7024c327eee11a3df9e8ea0b9d,86c5fdce1e6b91fc542f0dea6b39e0c4e56177f50e12b41283c6eaee8d5de19e,86c5fdce1e6b91fc542f0dea6b39e0c4e56177f50e12b41283c6eaee8d5de19e,0,0ccd550c7d2285ef05d7e541511d77bb0e8bc46432d54dcb1302b89848bbc5f6,23337616,42faf05528f531e8ffb4939fe62c1a459cb09691301fa814b248cedbd29c03c4
task07-init13,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,13,180713,False,arm_actuator_gain_0p5,90,False,799600bbda786951e7f23e728a2d15c11c0d7d188b166b00a2024a35b280152b,18a493f2927792aa595916bbcb756b55f259775e5aee58072f5910bc9edaf96b,e888f2b332768693ded586d828272d2c2e50aaab956e99a0fee20788a31253a1,fbb2826ce5254e7510401b24ac71cd7f5e788b7024c327eee11a3df9e8ea0b9d,704c58a9ed7ecb81f646b72804f37c22ae5efbeb584b6193798dd53d4dfcd2f5,704c58a9ed7ecb81f646b72804f37c22ae5efbeb584b6193798dd53d4dfcd2f5,0,0ccd550c7d2285ef05d7e541511d77bb0e8bc46432d54dcb1302b89848bbc5f6,22953499,823efeddd742cffa9daf2b5e4085085f8f5ea05103cb3c3d9ece2744b881d701
