sample_index,split,benchmark_task_id,dataset_task_index,episode_index,frame_index,episode_timestamp_seconds,camera1_video_file,camera1_query_timestamp_seconds,camera1_pixel_sha256,camera2_video_file,camera2_query_timestamp_seconds,camera2_pixel_sha256
0,train,0,34,1642,0,0.0,videos/observation.images.image/chunk-000/file-035.mp4,176.9,2db9dcd655b876debd82bf39d1bb53206106afa08dea700b323ddbf02b8bbd64,videos/observation.images.image2/chunk-000/file-035.mp4,176.9,e0111fc1a5329549356832903105263becdf3e618fa963a65a6c2205f835fd00
1,train,0,34,1642,30,3.0,videos/observation.images.image/chunk-000/file-035.mp4,179.9,131bf363f76aa6fdb2814362f02d969301d434753b3437ef05db292dfc03394a,videos/observation.images.image2/chunk-000/file-035.mp4,179.9,d8c0ffe4e293cf711b2be29164904feaba59c499c132264449833cc64fccebce
2,train,0,34,1642,59,5.900000095367432,videos/observation.images.image/chunk-000/file-035.mp4,182.80000009536744,ef8ef41b6a9364da6fed6bb2b0ca100d50637594aaae5f0a016ba077a4abc2cc,videos/observation.images.image2/chunk-000/file-035.mp4,182.80000009536744,644c2213bf6697d1e82036bf24fabb25d1b808bc6cfb1418b69add509bfbb726
3,train,0,34,1642,89,8.899999618530273,videos/observation.images.image/chunk-000/file-035.mp4,185.79999961853028,7fbe00ba5bb59cdfe90db7ffcee063cdc05e69ec3d2d98129629110694fc9324,videos/observation.images.image2/chunk-000/file-035.mp4,185.79999961853028,6a097f360716a330ebff891570828070bbe1c79b3601e9ce95ad33a189fa18e2
4,train,1,37,1375,0,0.0,videos/observation.images.image/chunk-000/file-029.mp4,600.8,c29caff78aab024268fe5550448288bcd5e9a365937c59d445e3e54130dd5259,videos/observation.images.image2/chunk-000/file-029.mp4,600.8,5352fe1c357f14072344feeceed74e9f31238c20a8df799574ba4dbd1812c373
5,train,1,37,1375,41,4.099999904632568,videos/observation.images.image/chunk-000/file-029.mp4,604.8999999046325,d686c949db7ac31f08e33d034c2aab1bbd9ab8acbaadbf65f958312082f282ed,videos/observation.images.image2/chunk-000/file-029.mp4,604.8999999046325,180bfd78fdbe61631311737b801fb75b209b57c8e754d2d43b353a2f97f10a5f
6,train,1,37,1375,83,8.300000190734863,videos/observation.images.image/chunk-000/file-029.mp4,609.1000001907348,4e9b4e7f6a1a90a33da2d8b7ca81ca5233a1a171f45e722e0044e67cd929d774,videos/observation.images.image2/chunk-000/file-029.mp4,609.1000001907348,531a2503fb4d8d0720024ade60556ea375e50594fabf25588a851fac8b3db2df
7,train,1,37,1375,124,12.399999618530273,videos/observation.images.image/chunk-000/file-029.mp4,613.1999996185302,f8a1487ff5211c57435905816056e70a490a0c3f7572c148aa5e488e65f2e005,videos/observation.images.image2/chunk-000/file-029.mp4,613.1999996185302,1e88d57c6aef16bb59e7f6837e3d64a608575e718ecc0d6fb2f17c80d58ceb44
8,train,2,38,1478,0,0.0,videos/observation.images.image/chunk-000/file-032.mp4,0.0,2af74edbf9382f9e94e19b6b781815c9b14788bcf7153e0390b6a3dd251198e1,videos/observation.images.image2/chunk-000/file-032.mp4,0.0,692df0965e80bb5e3c05ab73fb4beb4c36d366b9d03c19e7f09cdaa2249eb1e5
9,train,2,38,1478,40,4.0,videos/observation.images.image/chunk-000/file-032.mp4,4.0,ef4908615b808da98cbf13db46171db8b0e4d3686a8da65296239efd4a7051df,videos/observation.images.image2/chunk-000/file-032.mp4,4.0,49cee8a9215e8d61b21c33c9c16d5e9c1b012ed95090aef441255fa2a8bed76e
10,train,2,38,1478,81,8.100000381469727,videos/observation.images.image/chunk-000/file-032.mp4,8.100000381469727,01388acb0de1d7e3b9f2fa100cad8fec327ae1474e8750ceb88010479401f9e5,videos/observation.images.image2/chunk-000/file-032.mp4,8.100000381469727,ec543726f48b5ee0390bba7418d100d754a4ebb7cb2c4533d02a9e5e8b8c1acd
11,train,2,38,1478,121,12.100000381469727,videos/observation.images.image/chunk-000/file-032.mp4,12.100000381469727,04e906c84a3e38bd1270c7b3f99feb80ac5ff57d638553e180d58a75d3e32420,videos/observation.images.image2/chunk-000/file-032.mp4,12.100000381469727,12c642061c27f7241229e0958385379f3fc94f2ee457e81f7b4b542d00a5ec3c
12,train,3,35,1570,0,0.0,videos/observation.images.image/chunk-000/file-033.mp4,505.7000000000001,f902bbfd6d9097fe90536bac4e6cf4ebb5acc88de37ee1eea82ef49d4bb24ba0,videos/observation.images.image2/chunk-000/file-033.mp4,505.7000000000001,54bbb76819bc6d5a9cfde926e038dc8f8ebbd685b4cb873169844e34a5073945
13,train,3,35,1570,35,3.5,videos/observation.images.image/chunk-000/file-033.mp4,509.2000000000001,87626c588c14bdb79479fe096e5dc98c39459e878385c45a01f644d81c5add39,videos/observation.images.image2/chunk-000/file-033.mp4,509.2000000000001,14875a3f0750dd46c79dcda4796ed787c425a556cc517615a20c7895c55f6605
14,train,3,35,1570,70,7.0,videos/observation.images.image/chunk-000/file-033.mp4,512.7,d19fe4534ec58a4afb1f47f9283c424b0016f9fd10fe0a89b45eecfd2155bd85,videos/observation.images.image2/chunk-000/file-033.mp4,512.7,96cb10461d008f9b6476e4beca1b806d33feb275a781af02d4f82a1468ea1a03
15,train,3,35,1570,105,10.5,videos/observation.images.image/chunk-000/file-033.mp4,516.2,85f417bc6320cd45cfa258a65627c43fd2de8782bc27d7d88041edb18673215e,videos/observation.images.image2/chunk-000/file-033.mp4,516.2,340342601c23f2f93608317c920044b14fc895b7e8e65eb380bbadfdcc27a1b5
16,train,4,31,1474,0,0.0,videos/observation.images.image/chunk-000/file-031.mp4,566.0,d66cfe0f4b707f6b815ac9b9a216724117ee5747ffbc67df804fe6dda9eaf574,videos/observation.images.image2/chunk-000/file-031.mp4,566.0,46714f95c98770d7be5b12eb810297cb39f7b93c69f40e10b3d3e2ade313bd5d
17,train,4,31,1474,52,5.199999809265137,videos/observation.images.image/chunk-000/file-031.mp4,571.1999998092651,5fb0fc46856a0a8bd6c8786e6fed031a4f16f365b15a802f01113ebd523c3723,videos/observation.images.image2/chunk-000/file-031.mp4,571.1999998092651,db0631dfca38c3d65abd61f89c30cf7d53e33af53fcd8e4755b753fc742c5ea0
18,train,4,31,1474,105,10.5,videos/observation.images.image/chunk-000/file-031.mp4,576.5,e2432d5d7bc7f60a741d3d06322b2627c6eaba7d41929571b0821a5fbb6773bc,videos/observation.images.image2/chunk-000/file-031.mp4,576.5,35609faceb623a49af3e69e5cf935e0e7ca1c596c5fa21e38ef30fea8712d688
